character,unicode_category,total_frequency_all_time
ิ,Mn,7503466
ő,Ll,7491092
ộ,Ll,7487081
子,Lo,7475941
は,Lo,7455879
ए,Lo,7447904
月,Lo,7406306
公,Lo,7377768
Л,Lu,7351219
하,Lo,7350450
ไ,Lo,7309949
ἀ,Ll,7299640
可,Lo,7298944
ׁ,Mn,7227414
多,Lo,7227003
্,Mn,7220327
आ,Lo,7211458
☎,So,7189547
에,Lo,7184272
는,Lo,7164670
한,Lo,7157771
Ú,Lu,7147371
∙,Sm,7122451
니,Lo,7121933
地,Lo,7097784
リ,Lo,7095986
😍,So,7052006
ס,Lo,7051934
ू,Mn,7031973
要,Lo,7028502
ア,Lo,6998441
出,Lo,6998355
行,Lo,6942397
家,Lo,6941112
他,Lo,6911904
Ε,Lu,6910371
会,Lo,6910215
ク,Lo,6907810
카,Lo,6880393
ி,Mc,6805735
😛,So,6790592
க,Lo,6718923
의,Lo,6695408
த,Lo,6681645
○,So,6680476
‹,Pi,6645225
ष,Lo,6636708
스,Lo,6628257
分,Lo,6617105
≈,Sm,6615695
इ,Lo,6610834
ध,Lo,6589811
ث,Lo,6586312
➤,So,6562620
ে,Mc,6559175
🏻,Sk,6502441
ג,Lo,6489442
🌟,So,6486487
円,Lo,6454460
ὸ,Ll,6441813
기,Lo,6428394
者,Lo,6423738
下,Lo,6359197
가,Lo,6358638
能,Lo,6354214
ț,Ll,6336305
Π,Lu,6324689
成,Lo,6321051
Ł,Lu,6303425
到,Lo,6290126
ি,Mc,6252320
토,Lo,6245344
个,Lo,6244469
か,Lo,6237390
ு,Mc,6224996
غ,Lo,6185342
ấ,Ll,6157832
ῦ,Ll,6156782
آ,Lo,6153763
ห,Lo,6145601
为,Lo,6140519
צ,Lo,6137610
你,Lo,6072044
が,Lo,6070989
ξ,Ll,6047459
天,Lo,6007596
自,Lo,5955845
Ι,Lu,5951806
ん,Lo,5949891
法,Lo,5928218
り,Lo,5885754
Τ,Lu,5866156
ώ,Ll,5849994
方,Lo,5843507
ہ,Lo,5841315
Ż,Lu,5835665
로,Lo,5832217
ơ,Ll,5813879
็,Mn,5807174
Ā,Lu,5797845
之,Lo,5795956
ন,Lo,5782557
리,Lo,5766258
ئ,Lo,5764367
ण,Lo,5753971
们,Lo,5753568
小,Lo,5746885
З,Lu,5738915
을,Lo,5736613
ὐ,Ll,5735576
ט,Lo,5734977
⋅,Sm,5703684
这,Lo,5667218
🙏,So,5667190
인,Lo,5662033
پ,Lo,5645601
ớ,Ll,5625279
÷,Sm,5617440
ố,Ll,5589317
☺,So,5564376
➡,So,5520145
Ė,Lu,5494162
Ф,Lu,5433525
︎,Mn,5405392
시,Lo,5400793
ể,Ll,5396127
ம,Lo,5395793
🙁,So,5383438
美,Lo,5374992
์,Mn,5359469
Ô,Lu,5328516
어,Lo,5299026
‒,Pd,5296434
ख,Lo,5279945
ů,Ll,5262428
◦,So,5254382
Ō,Lu,5248710
ז,Lo,5244057
Κ,Lu,5224093
노,Lo,5201031
ɛ,Ll,5174319
ọ,Ll,5151084
时,Lo,5131513
고,Lo,5128905
ζ,Ll,5112539
￼,So,5100283
う,Lo,5100254
라,Lo,5076218
Þ,Lu,5064075
語,Lo,5062631
来,Lo,5062347
Ă,Lu,5044843
Φ,Lu,5041487
ド,Lo,5032587
高,Lo,5010233
Ο,Lu,4996184
ậ,Ll,4987215
※,Po,4985580
理,Lo,4981800
₦,Sc,4980254
│,So,4963253
थ,Lo,4947437
所,Lo,4942830
♀,So,4941472
ক,Lo,4935717
แ,Lo,4921018
È,Lu,4913797
最,Lo,4887137
서,Lo,4886015
ء,Lo,4882743
心,Lo,4858216
工,Lo,4845860
∞,Sm,4823064
ị,Ll,4819432
🏼,Sk,4798181
̆,Mn,4768417
ら,Lo,4763200
品,Lo,4760130
名,Lo,4747020
Ч,Lu,4739589
ـ,Lm,4732004
₱,Sc,4710816
օ,Ll,4709827
ề,Ll,4704298
タ,Lo,4671762
英,Lo,4668661
合,Lo,4662193
海,Lo,4637502
學,Lo,4634739
网,Lo,4634181
ῖ,Ll,4621429
ờ,Ll,4617049
ῶ,Ll,4609669
ṃ,Ll,4608566
シ,Lo,4603550
Μ,Lu,4599796
👇,So,4597185
全,Lo,4585628
ъ,Ll,4561111
っ,Lo,4557244
体,Lo,4557191
发,Lo,4551178
ầ,Ll,4547765
ً,Mn,4529366
事,Lo,4520188
⚡,So,4514402
ս,Ll,4507488
レ,Lo,4504039
前,Lo,4490907
ব,Lo,4478956
🤍,So,4466987
ё,Ll,4463229
于,Lo,4461823
如,Lo,4455122
ロ,Lo,4448155
好,Lo,4442064
ᴜ,Ll,4441819
ジ,Lo,4416244
ṁ,Ll,4411356
き,Lo,4379471
్,Mn,4377152
്,Mn,4367275
◊,So,4357211
ظ,Lo,4350227
性,Lo,4349147
❶,No,4338827
れ,Lo,4337779
》,Pe,4323160
พ,Lo,4312394
ủ,Ll,4308088
さ,Lo,4303402
時,Lo,4302198
也,Lo,4297861
更,Lo,4293211
カ,Lo,4289447
ך,Lo,4283322
司,Lo,4283148
く,Lo,4279633
ὰ,Ll,4272142
主,Lo,4264992
ா,Mc,4247470
🎉,So,4241113
こ,Lo,4240802
定,Lo,4228124
同,Lo,4220602
及,Lo,4214284
市,Lo,4205396
І,Lu,4203749
道,Lo,4177320
♠,So,4164055
フ,Lo,4159743
ர,Lo,4155258
部,Lo,4146327
‰,Po,4142938
ப,Lo,4138947
▬,So,4133950
就,Lo,4127743
ߋ,Lo,4125032
ป,Lo,4118607
대,Lo,4110674
面,Lo,4096088
得,Lo,4095904
⦁,Sm,4092350
山,Lo,4082764
ะ,Lo,4063094
表,Lo,4060904
Х,Lu,4058052
ɡ,Ll,4057858
金,Lo,4050798
♣,So,4047788
़,Mn,4046083
國,Lo,4039113
ợ,Ll,4038774
も,Lo,4037826
三,Lo,4037104
化,Lo,4003057
Ê,Lu,4002605
ے,Lo,3999471
전,Lo,3999186
ţ,Ll,3991468
Э,Lu,3986320
자,Lo,3980617
수,Lo,3979353
ḍ,Ll,3976294
信,Lo,3976224
🙌,So,3972034
《,Ps,3964103
代,Lo,3961319
お,Lo,3954235
아,Lo,3950404
加,Lo,3949780
物,Lo,3945137
明,Lo,3938747
Я,Lu,3930303
ψ,Ll,3926362
उ,Lo,3892894
ÿ,Ll,3886046
第,Lo,3879660
Ì,Lu,3878619
Γ,Lu,3877287
Õ,Lu,3872299
♂,So,3869596
都,Lo,3864866
💕,So,3864355
意,Lo,3861489
通,Lo,3847403
力,Lo,3846207
═,So,3843778
ա,Ll,3839167
ź,Ll,3837861
Ḥ,Lu,3832592
教,Lo,3830209
⃣,Me,3821414
台,Lo,3820681
Λ,Lu,3820234
外,Lo,3807086
其,Lo,3796432
あ,Lo,3780282
마,Lo,3776443
💡,So,3767653
建,Lo,3757081
💎,So,3751830
❌,So,3751076
提,Lo,3747867
式,Lo,3744011
โ,Lo,3738895
▒,So,3725231
ข,Lo,3724422
ї,Ll,3718609
য,Lo,3712193
은,Lo,3702329
😦,So,3698197
̇,Mn,3684454
ⲟ,Ll,3681468
보,Lo,3658176
平,Lo,3635809
จ,Lo,3635609
♫,So,3627957
🤣,So,3618644
해,Lo,3606824
对,Lo,3601655
□,So,3599332
├,So,3594378
국,Lo,3584415
使,Lo,3582962
水,Lo,3579799
😁,So,3569797
プ,Lo,3547993
社,Lo,3544905
🇺,So,3544776
而,Lo,3535196
マ,Lo,3529621
ุ,Mn,3519970
를,Lo,3513905
᧐,Nd,3511995
